Timestamp,What year are you in?,Is hotdog a sandwich?
2025-08-29 17:17:56.622,4,1
2025-08-29 18:33:07.653,3,1
2025-08-29 18:33:08.405,4,1
2025-08-29 18:33:28.632,3,1
2025-08-29 18:33:41.234,1,0
2025-08-29 18:34:19.440,1,0
2025-08-29 18:34:49.192,2,0
2025-08-29 18:35:00.978,1,0
2025-08-29 18:44:09.042,2,0
2025-08-29 19:09:17.538,1,0
2025-08-29 19:11:50.287,1,0
2025-08-29 19:28:00.348,3,0
2025-08-29 19:32:56.356,3,1
2025-08-29 19:33:26.640,4,0
2025-08-29 20:17:40.232,2,1
2025-08-29 22:07:14.323,4,1
2025-08-29 23:09:37.152,2,1
2025-08-30 14:32:39.061,4,0
2025-08-30 18:20:38.445,4,1
2025-08-30 18:24:33.516,2,0
2025-08-30 18:25:30.246,3,1
2025-08-30 19:37:43.780,2,0
2025-08-30 20:10:18.985,4,1
2025-08-30 21:57:42.413,4,0
2025-08-31 08:22:31.853,4,0
2025-08-31 09:56:00.762,3,0
2025-08-31 09:56:03.482,4,0
2025-08-31 09:56:04.732,2,0
2025-08-31 09:56:04.899,3,0
2025-08-31 09:56:52.308,4,0
2025-08-31 09:57:38.231,3,0
2025-08-31 10:02:12.688,4,0
2025-08-31 10:02:41.573,3,0
2025-08-31 10:02:48.475,3,0
2025-08-31 10:03:07.524,2,1
2025-08-31 10:03:20.642,4,0
2025-08-31 10:04:24.799,4,0
2025-08-31 10:04:54.181,2,0
2025-08-31 10:06:30.958,3,0
2025-08-31 10:09:51.739,4,0
2025-08-31 10:12:52.711,3,0
2025-08-31 10:15:12.502,4,0
2025-08-31 10:17:16.133,4,0
2025-08-31 10:22:21.607,2,0
2025-08-31 10:24:17.587,2,0
2025-08-31 10:41:17.803,4,0
2025-08-31 10:44:28.394,4,0
2025-08-31 10:44:50.395,3,0
2025-08-31 10:46:35.512,4,1
2025-08-31 10:50:08.287,4,0
2025-08-31 10:58:28.037,4,0
2025-08-31 10:59:02.194,4,0
2025-08-31 11:03:50.073,2,0
2025-08-31 11:06:04.556,2,0
2025-08-31 11:07:33.144,4,0
2025-08-31 11:10:34.594,4,0
2025-08-31 11:11:05.623,4,0
2025-08-31 11:11:35.980,2,1
2025-08-31 11:13:00.022,4,0
2025-08-31 11:30:19.716,4,0
2025-08-31 11:30:54.437,2,0
2025-08-31 11:30:58.777,3,0
2025-08-31 11:31:23.979,4,1
2025-08-31 11:49:53.141,4,0
